flag,U,R
1,How can I reset my password? I can’t remember my password.   Currently we do not have this facility. Users will need to contact the admin  How can I contact the admin? Can you give me the contact information?,"You can find the contact information in the webpage
"
0,How can I reset my password? I can’t remember my password.   Currently we do not have this facility. Users will need to contact the admin  How can I contact the admin? Can you give me the contact information?,"I don’t know
"
1,How can I reset my password? I can’t remember my password.   Currently we do not have this facility. Users will need to contact the admin  How can I contact the admin?,"Please  click the ‘CONTACT’ button in the left panel
"
0,How can I reset my password? I can’t remember my password.   Currently we do not have this facility. Users will need to contact the admin  How can I contact the admin? Can you give me the contact information?,"You can login with your username and password
"
1,I can’t login with my account and password.   Do you want to find your password?   Yes. Please reset my password.,"Please contact the administrator for that
"
0,I can’t login with my account and password.   Do you want to find your password?   Yes. Please reset my password.,"We can’t do that
"
1,I can’t login with my account and password.   Have you check your account and password?  Yes. I should have something wrong with my password.,"Yes. Please click the ‘CONTACT’ button in the left panel to contact the administrator
"
0,I can’t login with my account and password.   Have you check your account and password?  Yes. I should have something wrong with my password.,"I am sorry to hear that
"
1,"What kinds of AI applications can be tested by this tool? Can I test NLP applications?  Test cases can be generated for any type of application, but currently the application can have input type image only So I can’t test NLP applications. Is it right?","We will add the feature in future
"
0,"What kinds of AI applications can be tested by this tool? Can I test NLP applications?  Test cases can be generated for any type of application, but currently the application can have input type image only So I can’t test NLP applications. Is it right?","Test cases can be generated for any type of application
"
1,"What kinds of AI applications can be tested by this tool? Can I test OCR applications?  Test cases can be generated for any type of application, but currently the application can have input type image only So I can’t test NLP applications. Is it right?","We will add the feature in future
"
0,"What kinds of AI applications can be tested by this tool? Can I test OCR applications?  Test cases can be generated for any type of application, but currently the application can have input type image only So I can’t test NLP applications. Is it right?","Test cases can be generated for any type of application
"
1,"What functions are supported by the tool?  Input and context tree modeling,Test case modeling and Test case input modeling. What is test case modeling?","Generating Test Cases based on provided input and the context trees. With this feature, users can generate test cases for all the combination for the respective input and context trees
"
0,"What functions are supported by the tool?  Input and context tree modeling,Test case modeling and Test case input modeling. What is test case modeling?","I don’t know
"
0,"What functions are supported by the tool?  Input and context tree modeling,Test case modeling and Test case input modeling. What is test case modeling?","what do you mean
"
1,"What functions are supported by the tool?  Input and context tree modeling,Test case modeling and Test case input modeling. What is the difference between test case input modeling and input tree modeling?","In Input tree modeling we are defining the factors which need to be considered while testing a certain product.  We use this tree while defining the test case group and to generate the test cases Test Case Input modeling refers to Data/Input Data required for the test case. In this module, we are providing the user ability to add input data to the test case either manually or with the help of a web search engine
"
0,"What functions are supported by the tool?  Input and context tree modeling,Test case modeling and Test case input modeling. What is the difference between test case input modeling and input tree modeling?","No difference
"
1,What kinds of tests can be done with this tool?  All kinds of AI application.  Can functional and performance tests both be done?,"No. Only functional tests can be done
"
0,What kinds of tests can be done with this tool?  All kinds of AI application.  Can functional and performance tests both be done?,"What’s the performance test do you mean?
"
1,What kinds of tests can be done with this tool?  All kinds of AI application.  Can functional and performance tests both be done?,"Not really
"
0,What kinds of tests can be done with this tool?  All kinds of AI application.  Can functional and performance tests both be done?,"I don't know
"
1,What is the impact if the test tools are used by multiple users for different apps at the same time?  Currently the app is in the development stage. So the performance capabilities are limited and not supported. Do you mean only one user one application can be supported at one time?,"Yes. We plan to support it in later version
"
0,What is the impact if the test tools are used by multiple users for different apps at the same time?  Currently the app is in the development stage. So the performance capabilities are limited and not supported. Do you mean only one user one application can be supported at one time?,"We will issue new resources once core functionality is built.
"
1,What are the maximal test cases can be executed when the app performance is tested? Current the performance testing feature is not available. Can multiple test cases be executed then?,"No
"
0,What are the maximal test cases can be executed when the app performance is tested? Current the performance testing feature is not available. Do you mean only one test case can be executed every time?,"I am not sure
"
1,How can I use spanning trees in the dashboard?  We are in the process of reconfiguring the UI this feature will be removed  Do you suggest not to use this?,"Yes
"
1,How can I use spanning trees in the dashboard?  We are in the process of reconfiguring the UI this feature will be removed  Do you suggest not to use this?,"You can try it, but your usage may be interrupted during the usage
"
1,"How can I use the test case group function best?  Use  Group Name , Version, Sub-version fields to create different groups for the same application Understand, thanks","You are welcome
"
1,"How can I use the test case group function best?  Use  Group Name , Version, Sub-version fields to create different groups for the same application Got it. It’s the test cases organization method","Yes
"
1,How can I do the version control of the input and context classification input? Name the files accordingly and store multiple versions of the file. Also copy tree function is available What does copying tree for?,"It’s used to copy the whole content of current version for producing a new version by modification
"
0,How can I do the version control of the input and context classification input? Name the files accordingly and store multiple versions of the file. Also copy tree function is available What does copying tree for?,"I can’t answer
"
1,How can I do the version control of the input and context classification input? Name the files accordingly and store multiple versions of the file. Also copy tree function is available What does copying tree for?,"Copy tree is to copy the version
"
0,How can I do the version control of the input and context classification input? Name the files accordingly and store multiple versions of the file. Also copy tree function is available What does copying tree for?,"Copy tree is to copy the tree
"
1,How can I do the version control of the input and context classification input? Name the files accordingly and store multiple versions of the file. Also copy tree function is available Is there any naming convention?,"Currently no
"
1,How can I do the version control of the input and context classification input? Name the files accordingly and store multiple versions of the file. Also copy tree function is available Is there any naming convention for the file?,"No
"
0,How can I control the test cases number of each test case branch?  You can limit the number of test cases by limiting the number of nodes in input and context tree. Can I input the limitation number? ,"Alternatively, You can delete the extra test cases
"
1,How can I control the test cases number of each test case branch?  You can limit the number of test cases by limiting the number of nodes in input and context tree. Can I input the limitation number?,"Let me check
"
1,How can I control the test cases number of each test case branch?  You can limit the number of test cases by limiting the number of nodes in input and context tree. Can I input the limitation number?,"No
"
1,Where to check the test case execution status? currently this module is under development  Is there any plan?,"The release date is not determined yet
"
